Name,Furiture/Object,Boarder rule,Num in living room,Grouping object,Place priority,in room section
Apple,o,,,,,
AppleSliced,o,,,,,
Tomato,o,,,,,
TomatoSliced,o,,,,,
Bread,o,,,,,
BreadSliced,o,,,,,
Sink,f,border,,,,
Pot,o,,,,,
Pan,o,,,,,
Knife,o,,,,,
Fork,o,,,,,
Spoon,o,,,,,
Bowl,o,,,,,
Toaster,o,,,,,
CoffeeMachine,o,,,,,
Microwave,o,,,,,
StoveBurner,o,,,,,
Fridge,f,border,,,,
Cabinet,f,border,,,,
Egg,o,,,,,
Chair,f,,1,SideTable,,
Lettuce,o,,,,,
Potato,o,,,,,
Mug,o,,,,,
Plate,o,,,,,
DiningTable,f,center,,,,
CounterTop,f,border,,,,
GarbageCan,f,border,1,,,
Omelette,o,,,,,
EggShell,o,,,,,
EggCracked,o,,,,,
StoveKnob,?,,,,,
Container,?,,,,,
Cup,o,,,,,
ButterKnife,o,,,,,
PotatoSliced,o,,,,,
MugFilled,o,,,,,
BowlFilled,o,,,,,
Statue,o,,,,,
LettuceSliced,o,,,,,
ContainerFull,o,,,,,
BowlDirty,o,,,,,
Sandwich,o,,,,,
Television,o,,,,,
HousePlant,f,border,2,,,
TissueBox,o,,,,,
VacuumCleaner,o,,,,,
Painting,f,on the wall,,,,
WateringCan,o,,,,,
Laptop,o,,,,,
RemoteControl,o,,,,,
Box,?,,,,,
Newspaper,o,,,,,
TissueBoxEmpty,o,,,,,
PaintingHanger,?,,,,,
KeyChain,o,,,,,
Dirt,?,,,,,
CellPhone,o,,,,,
CreditCard,o,,,,,
Cloth,o,,,,,
Candle,o,,,,,
Toilet,f,border,,,,
Plunger,f,border,,,,
Bathtub,f,border,,,,
ToiletPaper,o,,,,,
ToiletPaperHanger,f,,,,,
SoapBottle,o,,,,,
SoapBottleFilled,o,,,,,
SoapBar,?,,,,,
ShowerDoor,f,,,,,
SprayBottle,o,,,,,
ScrubBrush,o,,,,,
ToiletPaperRoll,o,,,,,
Lamp,f,,,,,
LightSwitch,?,on the wall,,,,
Bed,f,border,,,,
Book,o,,,,,
AlarmClock,o,,,,,
SportsEquipment,o,,,,,
Pen,o,,,,,
Pencil,o,,,,,
Blinds,?,,,,,
Mirror,?,,,,,
TowelHolder,?,,,,,
Towel,o,,,,,
Watch,o,,,,,
MiscTableObject,?,,,,,
ArmChair,f,border,,,,
BaseballBat,o,,,,,
BasketBall,o,,,,,
Faucet,f,,,,,
Boots,o,,,,,
Bottle,o,,,,,
DishSponge,o,,,,,
Drawer,f,,,,,
FloorLamp,f,corner,1,,,
Kettle,o,,,,,
LaundryHamper,?,,,,,
LaundryHamperLid,?,,,,,
Lighter,?,,,,,
Ottoman,?,,,,,
PaintingSmall,?,,,,,
PaintingMedium,?,,,,,
PaintingLarge,?,,,,,
PaintingHangerSmall,?,,,,,
PaintingHangerMedium,?,,,,,
PaintingHangerLarge,?,,,,,
PanLid,?,,,,,
PaperTowelRoll,?,,,,,
PepperShaker,?,,,,,
PotLid,?,,,,,
SaltShaker,o,,,,,
Safe,f,,,,,
SmallMirror,?,,,,,
Sofa,f,border,1,,2,
SoapContainer,o,,,,,
Spatula,?,,,,,
TeddyBear,o,,,,,
TennisRacket,o,,,,,
Tissue,o,,,,,
Vase,?,,,,,
WallMirror,?,,,,,
MassObjectSpawner,?,,,,,
MassScale,?,,,,,
Footstool,?,,,,,
Shelf,f,border,,,,
Dresser,f,border,,,,
Desk,f,center,,,,
SideTable,f,border,1,,,
Pillow,o,,,,,
Bench,f,,,,,
Cart,?,,,,,
ShowerGlass,?,,,,,
DeskLamp,o,,,,,
Window,?,,,,,
BathtubBasin,?,,,,,
SinkBasin,?,,,,,
CD,o,,,,,
Curtains,?,,,,,
Poster,?,,,,,
HandTowel,o,,,,,
HandTowelHolder,?,,,,,
Ladle,?,,,,,
WineBottle,o,,,,,
ShowerCurtain,?,,,,,
ShowerHead,?,,,,,
TVStand,f,border,,,,
CoffeeTable,f,center,,,,
ShelvingUnit,f,border,,,,
AluminumFoil,o,,,,,
DogBed,f,,,,,
Dumbbell,?,,,,,
TableTopDecor,o,,,,,
RoomDecor,?,,,,,
Stool,f,,,SideTable,,
GarbageBag,f,,,,,
Desktop,f,,,,,
TargetCircle,?,,,,,
Floor,f,,,,,
ScreenFrame,?,,,,,
ScreenSheet,?,,,,,